               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030308,            0.040386,           0.0051956,             0.74452,             0.60136,              0.5623,             0.35166,            0.027585,            0.032073,           0.0063133,            0.008425,            0.008425,            0.008425
                  37,             0.03027,            0.042437,           0.0058185,             0.75721,             0.58992,             0.58375,             0.36982,            0.026751,            0.032565,           0.0063351,             0.00838,             0.00838,             0.00838
                  38,            0.029326,            0.042184,           0.0054679,             0.78559,             0.57109,             0.58491,             0.33754,            0.028318,            0.032561,            0.006102,            0.008335,            0.008335,            0.008335
                  39,            0.028532,            0.040804,           0.0048156,             0.79435,             0.57888,             0.60092,             0.37974,             0.02689,            0.032138,           0.0060452,             0.00829,             0.00829,             0.00829
                  40,             0.02975,            0.042276,           0.0049161,               0.739,             0.60476,             0.57132,              0.3546,            0.027352,             0.03334,           0.0063938,            0.008245,            0.008245,            0.008245
                  41,            0.027946,            0.041781,           0.0051397,             0.74146,             0.62228,             0.57487,             0.35995,            0.026675,            0.032782,           0.0061539,              0.0082,              0.0082,              0.0082
                  42,            0.028577,            0.040456,           0.0048422,              0.7513,              0.5608,             0.57885,             0.36264,            0.028026,            0.033212,           0.0061207,            0.008155,            0.008155,            0.008155
                  43,            0.029208,            0.042335,           0.0046747,             0.78791,             0.58161,             0.59407,             0.36883,            0.026527,            0.032801,           0.0062447,             0.00811,             0.00811,             0.00811
                  44,            0.029025,            0.041743,           0.0045011,              0.7782,             0.53706,             0.57936,             0.35255,            0.027398,            0.032285,           0.0060795,            0.008065,            0.008065,            0.008065
                  45,            0.028674,            0.040545,           0.0044916,             0.74119,             0.59922,              0.5967,             0.38382,            0.025822,            0.032277,           0.0060169,             0.00802,             0.00802,             0.00802
                  46,            0.028347,            0.041403,            0.004146,             0.71184,             0.60172,             0.56604,             0.35589,            0.027879,            0.033616,           0.0060955,            0.007975,            0.007975,            0.007975
